MOF	LCD	PLD	Vol_SA	Grav_SA	Void_fraction
EQOXIT_clean	7.68652	6.98261	1434.49	1199.72	0.145
EQUBIC_clean	4.62524	4.02529	1065.37	529.211	0.05166
EQUBOI_clean	4.70314	4.11847	1156.08	595.607	0.05904
EQUBUO_clean	4.678	4.09417	1106.38	558.363	0.05578
EQUCOI_clean	4.45934	3.16039	684.439	408.89	0.03054
EQUNEL_clean	11.53586	5.50716	2345.14	2307.49	0.29786
EQUNIP_clean	12.19685	4.3543	2510.31	2844.99	0.3105
ERAHOV_clean	8.72809	7.46409	2390.87	2537.65	0.31962
ERALUG_clean	10.3431	8.94026	2123.2	1910.7	0.24952
ERAMAN_clean	12.01377	10.18099	2268.91	2354.76	0.30454
ERAMER_clean	12.83976	11.91501	2114.99	3083.26	0.40446
EREFEN01_SL	5.00416	3.86565	1429.06	1257.06	0.07376
EREGOY_clean	7.33047	5.25494	2463.8	2801.2	0.25156
ERELIX_clean	5.64254	3.51162	1244.41	1009.51	0.07638
ERIGER_clean	7.45113	4.52944	1103.91	832.774	0.08418
